code,area,year,number_of_jobs,job_density,gcode,lat,lon
E09000001,City of London,2000,361000,67.1,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2000,57000,0.56,E09000002,51.5636,0.152614
E09000003,Barnet,2000,138000,0.67,E09000003,51.5878,-0.229105
E09000004,Bexley,2000,76000,0.55,E09000004,51.5524,-0.30256
E09000005,Brent,2000,122000,0.67,E09000005,51.4042,0.01998
E09000006,Bromley,2000,115000,0.62,E09000006,51.4042,0.01998
E09000007,Camden,2000,291000,2.05,E09000007,51.5275,-0.124663
E09000008,Croydon,2000,160000,0.73,E09000008,51.3726,-0.096801
E09000009,Ealing,2000,134000,0.64,E09000009,51.6537,-0.080609
E09000010,Enfield,2000,113000,0.63,E09000010,51.6537,-0.080609
E09000011,Greenwich,2000,84000,0.6,E09000011,51.4893,0.0647926
E09000012,Hackney,2000,102000,0.75,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2000,120000,1,E09000013,51.5064,-0.137447
E09000014,Haringey,2000,74000,0.48,E09000014,51.6002,-0.111927
E09000015,Harrow,2000,81000,0.59,E09000015,51.5846,-0.332159
E09000016,Havering,2000,89000,0.63,E09000016,51.5817,0.186821
E09000017,Hillingdon,2000,177000,1.11,E09000017,51.5289,-0.481374
E09000018,Hounslow,2000,146000,1,E09000018,51.4984,-0.1284
E09000019,Islington,2000,173000,1.36,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2000,147000,1.31,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2000,85000,0.85,E09000021,51.4029,-0.256523
E09000022,Lambeth,2000,140000,0.73,E09000022,51.4603,-0.11663
E09000023,Lewisham,2000,76000,0.44,E09000023,51.447,-0.0187319
E09000024,Merton,2000,84000,0.66,E09000024,51.3985,-0.1986
E09000025,Newham,2000,79000,0.5,E09000025,51.533,0.0540634
E09000026,Redbridge,2000,83000,0.53,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2000,82000,0.7,E09000027,51.4479,-0.326159
E09000028,Southwark,2000,182000,1.05,E09000028,51.4737,-0.0821115
E09000029,Sutton,2000,78000,0.67,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2000,152000,1.15,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2000,74000,0.5,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2000,127000,0.65,E09000032,51.4572,-0.194519
E09000033,Westminster,2000,616000,4.23,E09000033,51.4974,-0.136655
E09000001,City of London,2001,339000,59.14,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2001,54000,0.52,E09000002,51.5636,0.152614
E09000003,Barnet,2001,138000,0.65,E09000003,51.5878,-0.229105
E09000004,Bexley,2001,75000,0.54,E09000004,51.5524,-0.30256
E09000005,Brent,2001,116000,0.62,E09000005,51.4042,0.01998
E09000006,Bromley,2001,114000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2001,294000,1.98,E09000007,51.5275,-0.124663
E09000008,Croydon,2001,156000,0.71,E09000008,51.3726,-0.096801
E09000009,Ealing,2001,134000,0.63,E09000009,51.6537,-0.080609
E09000010,Enfield,2001,111000,0.61,E09000010,51.6537,-0.080609
E09000011,Greenwich,2001,71000,0.5,E09000011,51.4893,0.0647926
E09000012,Hackney,2001,108000,0.77,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2001,123000,0.98,E09000013,51.5064,-0.137447
E09000014,Haringey,2001,75000,0.48,E09000014,51.6002,-0.111927
E09000015,Harrow,2001,80000,0.58,E09000015,51.5846,-0.332159
E09000016,Havering,2001,88000,0.63,E09000016,51.5817,0.186821
E09000017,Hillingdon,2001,185000,1.16,E09000017,51.5289,-0.481374
E09000018,Hounslow,2001,150000,1.02,E09000018,51.4984,-0.1284
E09000019,Islington,2001,168000,1.3,E09000019,51.4984,-0.1284
